string,label
"""The **uterosacral ligaments** provide mechanical support to the uterus by connecting the **cervix to the sacrum and lateral pelvis**. These ligaments play a vital role in the prevention of uterine prolapse. The uterosacral ligaments also provide mechanical **support** to **the pelvic floor** as a whole and so play a role in the pathogenesis of the broader group of disorders comprised by pelvic organ prolapse. Important risk factors for uterine prolapse include age, high body mass index (BMI), multiparity, and obstetric conditions resulting from excessive stretching and tearing. Uterosacral ligament suspension (USLS) is a corrective procedure that involves stitching the uterosacral ligaments to the apex of the vagina, thereby restoring normal support to the top of the vagina.""
",1
"""The formation of covalent bonds between adjacent thymine and cytosine bases creates **pyrimidine dimers**. These DNA lesions are caused by exposure to UV radiation and form bulky **helix distortions** that interfere with DNA replication. This increases the risk of developing **gain-of-function mutations** in the BRAF gene. These mutations result in overactivation of growth signals that can lead to malignant melanoma.  
",1
"Approximately ∼ 50% of cases of melanoma have an activating V600E mutation in the BRAF gene. Patients with advanced melanoma that are positive for this mutation are candidates for vemurafenib therapy, which inhibits B-Raf kinase.""
",1
"""Methylation of cytosine nucleotides is the most common **epigenetic** modification of human DNA. **DNA methylation**, which is performed by DNA methyltransferases, typically occurs within a gene promoter (CpG islands) and results in **inhibition of gene transcription**. This mechanism is involved in the X chromosome inactivation and leads to the formation of Barr bodies, as seen on this patient's peripheral blood smear. On electron microscopy, methylated DNA is seen as heterochromatin.  
",1
"DNA methylation is also involved in genomic imprinting, repression of transposable elements, aging, and cancer development.""
",1
"""Marfan syndrome is a condition caused by a mutation of fibrillin-1 gene (_FBN1_) on chromosome 15. Although this mutation has resulted in defective fibrillin in both the patient and his sister, the condition manifests differently between the two. Different phenotypic expression in patients with the same genotype is a phenomenon known as **variable expressivity**. Individuals with the **same mutation** may display **different symptoms**, age of onset, and disease severity.""
",1
"""**Nonhomologous end joining** (NHEJ) repairs dsDNA breaks (e.g., induced by ionizing radiation) in eukaryotic cells. Broken strands are cropped by Ku70/Ku80 enzymes, forming blunt ends that allow for ligation of the two nonhomologous strands. This is an error-prone method of DNA repair because nucleotides are lost during the cropping of broken ends. However, NHEJ can quickly repair dsDNA breaks regardless of the cell cycle phase, allowing for DNA repair of neurons that are permanently in the G<sub>0</sub> phase. This explains the preserved sensory function in this patient.  
",1
"Apart from directly damaging DNA via double-stranded breaks, ionizing radiation generates reactive oxygen species that cause further damage to cells due to membrane lipid peroxidation, protein modification, and single-stranded DNA breaks, resulting in cell death and mitotic failure.""
",1
"""In this case, q refers to the mutated FXN allele, and p refers to the wild-type allele. The probability that a child in the general population will develop Friedreich ataxia is equal to q<sup>2</sup>, as heterozygous carriers would not develop this **autosomal recessive** disease. 2pq represents the percentage of heterozygous (unaffected) carriers, which is 1/100 in this case. Because this disease is very rare, the frequency for the wild-type allele (p) is approximately 1 (i.e., nearly 100%). Therefore, 2pq = 1/100 → 2 x (1) x q = 1/100 → q = 1/200. The probability that this patient's child will develop Friedreich ataxia (i.e., q<sup>2</sup>) is about 1/40,000.""
",1
"""**Pleiotropy** is the term used when **one gene** contributes to **multiple** seemingly unrelated **phenotypic effects**. This phenomenon explains how a single gene mutation can cause a disease affecting multiple organ systems. Pleiotropy accounts for the phenotypic variations seen in PKU and other diseases such as Marfan syndrome, ataxia telangiectasia, and sickle cell anemia. PKU is caused by a single autosomal recessive mutation in the gene coding for phenylalanine hydroxylase.  
",1
"Direct measurement of phenylalanine levels is part of the newborn screening for metabolic disorders. If PKU is detected, treatment in terms of lifelong dietary restriction of phenylalanine should be initiated as soon as possible.""
",1
"""**Intraventricular hemorrhage** (IVH) is a common complication in preterm infants and usually occurs within the first five days after birth. This complication is typically seen in neonates of **< 1500 g birth weight** and **born before 32 weeks' gestation** due to the fragility of the germinal matrix. Additional risk factors include peripartal chorioamnionitis and hypoxia (as suggested by this patient's low Apgar scores). Most infants with IVH are asymptomatic, but saltatory (over several days) or, more rarely, catastrophic (over minutes to hours) courses are also possible. Symptoms include **lethargy**, **hypotonia**, irregular respirations, **bulging anterior fontanelle**, and **neurologic symptoms** (e.g., seizures, cranial nerve abnormalities as suggested by poor pupillary light reflexes and roving eye movements), all of which this patient has.  
",1
"Cranial ultrasonography is the preferred method to diagnose IVH in newborns. Since most patients are asymptomatic, screening ultrasounds are routinely performed in infants with a birth weight < 1500 g and delivery before 30 weeks' gestation.""
",1
"""The **plan, do, study, act cycle** (PDSA) is a model used to improve healthcare quality; it is the process being used by the infectious disease chairperson. The “Plan” phase consists of **defining an area that needs improvement** and **planning potential interventions** to bring about a corrective change (e.g., determining that the incidence of _C. difficile_ infections at the hospital is too high and proposing an initiative to restrict the usage of clindamycin). The “Do” phase consists of **testing** the **intervention** (e.g., requiring that an infectious disease fellow approve any prescription of clindamycin for a 2-month period). The “Study” phase consists of **assessing** the **impact** of the intervention on the quality of healthcare (e.g., reviewing the hospital infection data). The “Act” phase consists of **implementing the new intervention** if the previous test showed a positive impact on healthcare quality (e.g., implementing the clindamycin restriction long-term) or **restarting** the **cycle** if the results were negative or had no significant impact (e.g., including fluoroquinolones in the antibiotic restriction).""
",1
"""**Fetal hydantoin syndrome** is a collection of defects associated with **maternal exposure to phenytoin** and other hydantoins (e.g., fosphenytoin). Use of these medications interferes with folate metabolism which often induces a deficiency. Common features of fetal hydantoin syndrome include **intrauterine growth restriction**, **craniofacial abnormalities** (e.g., cleft palate, hypertelorism, slanted palpebral fissures, and low-set ears), a short neck, limb defects (**phalanx/fingernail hypoplasia**), and **excessive hair** on the body and face. Other manifestations include cardiac anomalies (e.g., ventricular septal defect), ocular defects, hypospadias, and umbilical and inguinal hernias. Treatment is largely supportive and includes surgery to fix the cleft palate in addition to special education.  
",1
"Fetal hydantoin syndrome does not typically manifest with neural tube defects (e.g., spina bifida), which are usually seen in other types of folate deficiency and may occur as a result of maternal use of other anticonvulsants such as carbamazepine or valproate (see “Overview of antiepileptics to avoid during pregnancy” table).""
",1
"""**Diethylstilbestrol** (DES) is a synthetic estrogen that was introduced in the 1940s as it was believed to **prevent miscarriage** in pregnant women. In 1971, DES was discontinued because studies found that it is a **potent transplacental carcinogen**. It significantly **increases** the **lifetime risk of vaginal CCA**, a rare form of vaginal cancer, in daughters of the women who received DES. Therefore, women with a history of intrauterine DES exposure should be monitored closely.  
",1
"DES also has a carcinogenic effect on the mothers who received DES during their pregnancy and has been associated with an increased risk of breast cancer.""
",1
"""**Chancroid** is a sexually transmitted infection caused by the gram-negative bacillus **_Haemophilus ducreyi_**. In women, chancroid manifests with multiple **purulent lesions** that are 1–2 cm in size, clearly demarcated with a **greyish necrotic base**, and typically **very painful**. In men, a single lesion is common. In addition, chancroid is often accompanied by **painful inguinal lymphadenopathy**. Treatment of chancroid is with single-dose oral azithromycin or intramuscular ceftriaxone.""
",1
"""**Reversed blood flow** in the right **vertebral artery** into the distal subclavian artery rather than towards the brainstem occurs in **subclavian steal syndrome**. Given this patient's vascular risk factors (i.e., hypercholesterolemia, diabetes mellitus, hypertension), she most likely has an atherosclerotic occlusive plaque in the right subclavian artery. Reduced blood flow explains the heaviness, paresthesia, decreased pulses, and cooler skin of her right arm (i.e., **upper extremity ischemia**). Furthermore, exertion of the arm leads to retrograde blood flow through the vertebral artery so that the distal subclavian “steals” blood from the brain and causes her **presyncopal symptoms** (lightheadedness, nausea, and blurred vision) that resolve with rest.  
",1
"Treatment for subclavian steal syndrome involves control of atherosclerotic disease and antiplatelet therapy. Depending on the severity and location of the occlusion, percutaneous or open revascularization may be performed.""
",1
"""**Levodopa** (L-DOPA), a **dopamine precursor**, is the most effective medication for controlling the motor symptoms of Parkinson disease. Primary effects of L-DOPA are achieved by stimulating D2-receptors in the substantia nigra and striatum. However, overstimulation of D2-receptors by levodopa may also induce **psychosis** and **hallucinations** (usually visual). The risk for developing psychiatric symptoms increases with age, other psychiatric conditions, long duration of levodopa treatment, and high doses. Since this patient has been taking levodopa for 3 years and is elderly, her symptoms are most likely the result of levodopa therapy.  
",1
"Other adverse effects of L-DOPA therapy include dizziness, somnolence or insomnia, anxiety, and aggressive behavior.""
",1
"""**Myxomatous degeneration** is caused by the accumulation of dermatan sulfate within the connective tissue of the mitral valve. In developed countries, it is the **most common cause** of mitral valve degeneration and subsequent **mitral valve prolapse**. As the disease course progresses, mitral regurgitation can occur. This patient presents with common features of mitral valve prolapse (palpitations, anxiety, chest pain, **mid-systolic click**). The new-onset dyspnea, holosystolic murmur, and crackles on lung auscultation are consistent with regurgitation of the mitral valve, indicating an advanced disease process.""
",1
"""**Surgical resection** has been shown to improve both survival and quality of life in patients with a single brain metastasis. This patient is a good surgical candidate as she has a good functional status with no evidence of other metastases, and her tumor is surgically accessible (near the surface of the brain). The goal of surgery is twofold: **symptomatic relief** (i.e. reduction of this patient's headaches) and **local control** (i.e. prevention of local recurrence). **Postoperative focal radiation** is commonly employed to reduce the local recurrence risk, although there are doubts as to whether this improves overall survival.""
",1
"""**Hyperventilation** blows off CO<sub>2</sub>, which **lowers PaCO<sub>2</sub>** levels and results in **arterial smooth muscle constriction**. Based on Poiseuille's law, small decreases in the arterial radius from vasoconstriction can profoundly decrease cerebral blood flow. Since the cranial vault has a finite amount of space, decreasing cerebral blood flow allows more room for brain tissue and reductions in ICP.  
",1
"Although hyperventilation was commonly used to reduce ICP, studies have failed to show long-term outcome advantages. Prophylactic hyperventilation is no longer recommended and should only be used as a temporary measure for elevated ICP refractory to medical therapy.""
",1
"""Immediate intervention is required to reduce the blood pressure and prevent (further) end-organ damage in this patient with a hypertensive emergency. Preferred agents include **IV nitroprusside**, **labetalol**, or **nicardipine**. Nitroprusside, in particular, is widely used because of its quick onset (< 1 min) and broad applicability to various hypertensive emergency syndromes. It is important to **reduce blood pressure slowly**, i.e., by a maximum of 25% within the first hour, to prevent coronary insufficiency and to ensure adequate cerebral perfusion.  
",1
"Nitroprusside reduces renal perfusion and should be avoided in patients with acute renal failure.""
",1
